"External ID","Code","Account Activity","Credit/Code","Debit/Code"
"__export__.account_activity_operation_1_edf230cb","001","vn_vas_report.account_activity_01","1111","3331,711"
"__export__.account_activity_operation_2_24df07a5","004","vn_vas_report.account_activity_04","515","1121"
"__export__.account_activity_operation_3_1d351cb8","006","vn_vas_report.account_activity_06","331","1331,217"
"__export__.account_activity_operation_4_d204a7f2","003","vn_vas_report.account_activity_03","221","1121,6358"
"__export__.account_activity_operation_5_6f3f2900","002","vn_vas_report.account_activity_02","711",""
"__export__.account_activity_operation_6_810dd0d1","005","vn_vas_report.account_activity_05","242","6351"
"__export__.account_activity_operation_7_8537a370","011","vn_vas_report.account_activity_11","3388","4212"
